TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,t_s
46582953,-2.682209014892578e-07,-3.5916514207201544e-10,0.0,0.17597077786922455,-0.13169752061367035,-0.13169752061367035,0.68,nan,0.0,nan,21,21,46.583
46682926,-2.682209014892578e-07,-3.588809249777114e-10,0.0,0.17597077786922455,-0.10890184342861176,-0.10890184342861176,0.9500000000000001,nan,0.0,nan,21,21,46.683
46782984,-2.682209014892578e-07,-3.595630460040411e-10,0.0,0.17597077786922455,-0.08648960292339325,-0.08648960292339325,0.66,nan,0.0,nan,21,21,46.783
46883012,-2.682209014892578e-07,-3.5930725061916746e-10,0.0,0.17597077786922455,-0.062207210808992386,-0.062207210808992386,0.66,nan,0.0,nan,21,21,46.883
46983102,-2.682209014892578e-07,-3.5842617762682494e-10,0.0,0.17597077786922455,-0.03827904537320137,-0.03827904537320137,0.76,nan,0.0,nan,21,21,46.983
47082983,-2.682209014892578e-07,-3.587388164305594e-10,0.0,0.17597077786922455,-0.01604001596570015,-0.01604001596570015,0.76,nan,0.0,nan,21,21,47.083
47182914,-2.682209014892578e-07,-3.5868197301169857e-10,0.0,0.17597077786922455,0.005595516413450241,0.005595516413450241,0.71,nan,0.0,nan,21,21,47.183
47282975,-2.682209014892578e-07,-3.580566954042297e-10,0.0,0.17597077786922455,0.026903163641691208,0.026903163641691208,0.73,nan,0.0,nan,21,21,47.283
47382987,-2.682209014892578e-07,-3.573745743779e-10,0.0,0.17597077786922455,0.04716749116778374,0.04716749116778374,0.77,nan,0.0,nan,21,21,47.383
47482902,-2.682209014892578e-07,-3.5780090001935605e-10,0.0,0.17597077786922455,0.06657548248767853,0.06657548248767853,0.86,nan,0.0,nan,21,21,47.483
47582895,-2.682209014892578e-07,-3.5856828617397696e-10,0.0,0.17597077786922455,0.08548356592655182,0.08548356592655182,0.74,nan,0.0,nan,21,21,47.583
47682973,-2.682209014892578e-07,-3.5839775591739453e-10,0.0,0.17597077786922455,0.10468228161334991,0.10468228161334991,0.7000000000000001,nan,0.0,nan,21,21,47.683
47782912,-2.682209014892578e-07,-3.5777247830992565e-10,0.0,0.17597077786922455,0.12318499386310577,0.12318499386310577,0.66,nan,0.0,nan,20,20,47.783
47882891,-2.682209014892578e-07,-3.580282736947993e-10,0.0,0.17597077786922455,0.14020539820194244,0.14020539820194244,0.74,nan,0.0,nan,20,20,47.883
47982968,-2.682209014892578e-07,-3.5791458685707767e-10,0.0,0.17597077786922455,0.15545876324176788,0.15545876324176788,0.75,nan,0.0,nan,20,20,47.983
