TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S,t_s
46582899,0,-85,263,451,7,3,-176,0,0,0,1,46582896,46.583
46582899,1,-95,216,447,98,121,-96,0,0,0,1,46582894,46.583
46582899,2,-250,257,356,0,0,0,0,0,0,1,46582893,46.583
46682871,0,-89,257,455,7,3,-176,0,0,0,1,46682812,46.683
46682871,1,-93,212,450,98,121,-96,0,0,0,1,46682810,46.683
46682871,2,-240,271,394,0,0,0,0,0,0,1,46682809,46.683
46782889,0,-87,262,458,7,3,-176,0,0,0,1,46782886,46.783
46782889,1,-89,211,447,98,121,-96,0,0,0,1,46782884,46.783
46782889,2,-239,240,357,0,0,0,0,0,0,1,46782882,46.783
46882817,0,-83,260,452,7,3,-176,0,0,0,1,46882815,46.883
46882817,1,-93,213,446,98,121,-96,0,0,0,1,46882813,46.883
46882817,2,-201,230,356,0,0,0,0,0,0,1,46882812,46.883
46983044,0,-87,258,453,7,3,-176,0,0,0,1,46983042,46.983
46983044,1,-94,211,450,98,121,-96,0,0,0,1,46983040,46.983
46983044,2,-259,239,357,0,0,0,0,0,0,1,46983039,46.983
47082870,0,-83,255,457,7,3,-176,0,0,0,1,47082868,47.083
47082870,1,-95,208,447,98,121,-96,0,0,0,1,47082866,47.083
47082870,2,-291,237,364,0,0,0,0,0,0,1,47082864,47.083
47182796,0,-87,262,457,7,3,-176,0,0,0,1,47182794,47.183
47182796,1,-93,207,446,98,121,-96,0,0,0,1,47182792,47.183
47182796,2,-244,276,342,0,0,0,0,0,0,1,47182790,47.183
47282853,0,-87,264,460,7,3,-176,0,0,0,1,47282851,47.283
47282853,1,-91,209,444,98,121,-96,0,0,0,1,47282849,47.283
47282853,2,-235,241,336,0,0,0,0,0,0,1,47282848,47.283
47382877,0,-88,261,453,7,3,-176,0,0,0,1,47382875,47.383
47382877,1,-95,207,448,98,121,-96,0,0,0,1,47382873,47.383
47382877,2,-243,207,383,0,0,0,0,0,0,1,47382871,47.383
47482812,0,-83,259,455,7,3,-176,0,0,0,1,47482810,47.483
47482812,1,-93,206,447,98,121,-96,0,0,0,1,47482808,47.483
47482812,2,-252,255,345,0,0,0,0,0,0,1,47482806,47.483
47582840,0,-90,259,452,7,3,-176,0,0,0,1,47582838,47.583
47582840,1,-90,209,448,98,121,-96,0,0,0,1,47582836,47.583
47582840,2,-248,248,367,0,0,0,0,0,0,1,47582834,47.583
47682874,0,-89,260,452,7,3,-176,0,0,0,1,47682872,47.683
47682874,1,-97,210,444,98,121,-96,0,0,0,1,47682870,47.683
47682874,2,-219,251,326,0,0,0,0,0,0,1,47682869,47.683
47782810,0,-90,256,458,7,3,-176,0,0,0,1,47782806,47.783
47782810,1,-93,209,445,98,121,-96,0,0,0,1,47782804,47.783
47782810,2,-218,261,355,0,0,0,0,0,0,1,47782802,47.783
47882836,0,-83,259,457,7,3,-176,0,0,0,1,47882834,47.883
47882836,1,-93,210,447,98,121,-96,0,0,0,1,47882833,47.883
47882836,2,-260,228,381,0,0,0,0,0,0,1,47882831,47.883
47982867,0,-84,259,452,7,3,-176,0,0,0,1,47982865,47.983
47982867,1,-98,212,450,98,121,-96,0,0,0,1,47982861,47.983
47982867,2,-223,284,360,0,0,0,0,0,0,1,47982859,47.983
48082876,0,-86,258,454,7,3,-176,0,0,0,1,48082874,48.083
48082876,1,-89,211,450,98,121,-96,0,0,0,1,48082870,48.083
48082876,2,-206,256,370,0,0,0,0,0,0,1,48082868,48.083
48182843,0,-89,265,452,7,3,-176,0,0,0,1,48182841,48.183
48182843,1,-96,210,449,98,121,-96,0,0,0,1,48182840,48.183
48182843,2,-250,254,325,0,0,0,0,0,0,1,48182838,48.183
48282810,0,-88,258,453,7,3,-176,0,0,0,1,48282808,48.283
48282810,1,-94,214,450,98,121,-96,0,0,0,1,48282806,48.283
48282810,2,-240,257,398,0,0,0,0,0,0,1,48282804,48.283
48382848,0,-89,256,458,7,3,-176,0,0,0,1,48382798,48.383
48382848,1,-93,211,449,98,121,-96,0,0,0,1,48382797,48.383
48382848,2,-227,247,379,0,0,0,0,0,0,1,48382795,48.383
48482819,0,-87,263,456,7,3,-176,0,0,0,1,48482817,48.483
48482819,1,-92,211,449,98,121,-96,0,0,0,1,48482815,48.483
48482819,2,-248,268,337,0,0,0,0,0,0,1,48482812,48.483
48582949,0,-87,259,455,7,3,-176,0,0,0,1,48582946,48.583
48582949,1,-89,206,453,98,121,-96,0,0,0,1,48582911,48.583
48582949,2,-235,266,339,0,0,0,0,0,0,1,48582899,48.583
48682880,0,-86,260,458,7,3,-176,0,0,0,1,48682878,48.683
48682880,1,-94,209,448,98,121,-96,0,0,0,1,48682876,48.683
48682880,2,-212,248,325,0,0,0,0,0,0,1,48682874,48.683
48782826,0,-89,257,452,7,3,-176,0,0,0,1,48782824,48.783
48782826,1,-93,212,446,98,121,-96,0,0,0,1,48782822,48.783
48782826,2,-239,256,332,0,0,0,0,0,0,1,48782821,48.783
48882807,0,-86,257,454,7,3,-176,0,0,0,1,48882805,48.883
48882807,1,-93,212,447,98,121,-96,0,0,0,1,48882803,48.883
48882807,2,-247,238,357,0,0,0,0,0,0,1,48882801,48.883
48982804,0,-85,259,456,7,3,-176,0,0,0,1,48982802,48.983
48982804,1,-93,214,451,98,121,-96,0,0,0,1,48982801,48.983
48982804,2,-241,248,339,0,0,0,0,0,0,1,48982799,48.983
49082910,0,-86,258,453,7,3,-176,0,0,0,1,49082833,49.083
49082910,1,-88,212,455,98,121,-96,0,0,0,1,49082831,49.083
49082910,2,-249,195,359,0,0,0,0,0,0,1,49082829,49.083
