TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,t_s
2346826855,0,3,397453399,2382,12,0.87,41.6066891,-86.3560426,231.6,0.08011242747306824,65.67442321777344,-0.003000000026077032,0.0,0,2346.827
2346826870,1,3,397453399,2382,12,0.87,41.6066991,-86.3560505,230.97,0.010295630432665348,150.94540405273438,0.026000000536441803,0.0,1,2346.827
2347027350,0,3,397453599,2382,12,0.87,41.6066892,-86.3560425,231.6,0.11845674365758896,348.3106384277344,-0.12000000476837158,0.0,0,2347.027
2347027363,1,3,397453599,2382,12,0.87,41.606699,-86.3560505,230.96,0.0010000000474974513,90.0,-0.010000000707805157,0.0,1,2347.027
2347227012,0,3,397453799,2382,12,0.87,41.6066893,-86.3560425,231.59,0.0720069482922554,0.7957234978675842,-0.003000000026077032,0.0,0,2347.227
2347227026,1,3,397453799,2382,12,0.87,41.606699,-86.3560504,230.95000000000002,0.024413112550973892,124.99201965332031,-0.01900000125169754,0.0,1,2347.227
2347427054,0,3,397453999,2382,12,0.87,41.6066893,-86.3560425,231.53,0.05408326908946037,266.8201904296875,-0.021000001579523087,0.0,0,2347.427
2347427068,1,3,397453999,2382,12,0.87,41.606699,-86.3560504,230.97,0.012529964558780193,61.3895378112793,0.04800000041723251,0.0,1,2347.427
2347627033,0,3,397454199,2382,12,0.87,41.6066895,-86.3560425,231.55,0.11216060072183609,31.13897132873535,-0.03200000151991844,0.0,0,2347.627
2347646999,1,3,397454199,2382,12,0.87,41.606699,-86.3560504,230.97,0.03848376125097275,114.5671615600586,0.021000001579523087,0.0,1,2347.647
2347826998,0,3,397454399,2382,12,0.87,41.6066897,-86.35604239999999,231.52,0.0778203085064888,244.093505859375,-0.18400001525878906,0.0,0,2347.827
2347827012,1,3,397454399,2382,12,0.87,41.6066991,-86.3560504,230.99,0.051623642444610596,328.4652099609375,0.009000000543892384,0.0,1,2347.827
2348026951,0,3,397454599,2382,12,0.87,41.6066897,-86.3560426,231.49,0.095294289290905,241.82142639160156,0.01100000087171793,0.0,0,2348.027
2348026965,1,3,397454599,2382,12,0.87,41.6066991,-86.3560505,231.0,0.03862641751766205,338.74951171875,-0.03200000151991844,0.0,1,2348.027
2348226961,0,3,397454799,2382,12,0.87,41.60669,-86.35604269999999,231.49,0.11806778609752655,333.8689880371094,0.07300000637769699,0.0,0,2348.227
2348226974,1,3,397454799,2382,12,0.87,41.6066992,-86.35605059999999,231.01,0.016763055697083473,287.3540344238281,-0.020000001415610313,0.0,1,2348.227
2348427036,0,3,397454999,2382,12,0.87,41.6066901,-86.3560428,231.38,0.07017834484577179,212.7843017578125,0.0430000014603138,0.0,0,2348.427
