TimeUS,Type,pX,pY,pZ,Terrain,vX,vY,vZ,aX,aY,aZ,t_s
2354959515,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2354.96
2354992035,4,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2354.992
2355040218,2,416066944.0,-863560448.0,23171.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.04
2355074969,2,416066944.0,-863560448.0,23171.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.075
2355112512,2,416066944.0,-863560448.0,23171.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.113
2355154410,2,416066944.0,-863560448.0,23171.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.154
2355196948,2,416066944.0,-863560448.0,23175.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.197
2355241900,2,416066944.0,-863560448.0,23175.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.242
2355277901,2,416066944.0,-863560448.0,23176.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.278
2355316836,2,416066944.0,-863560448.0,23176.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.317
2355359439,2,416066944.0,-863560448.0,23176.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.359
2355399763,2,416066944.0,-863560448.0,23176.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.4
2355441959,2,416066944.0,-863560448.0,23176.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.442
2355479628,2,416066944.0,-863560448.0,23176.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.48
2355521107,2,416066944.0,-863560448.0,23176.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.521
2355559478,2,416066944.0,-863560448.0,23176.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.559
2355599736,2,416066944.0,-863560448.0,23177.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.6
2355647070,2,416066944.0,-863560448.0,23177.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.647
2355682394,2,416066944.0,-863560448.0,23177.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.682
2355726141,2,416066944.0,-863560448.0,23178.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.726
2355764690,2,416066944.0,-863560448.0,23179.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.765
2355804428,2,416066944.0,-863560448.0,23179.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.804
2355847030,2,416066944.0,-863560448.0,23180.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.847
2355887311,2,416066944.0,-863560448.0,23181.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.887
2355937272,2,416066944.0,-863560448.0,23182.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.937
2355969797,2,416066944.0,-863560448.0,23183.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2355.97
2356007276,2,416066912.0,-863560448.0,23184.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.007
2356050346,2,416066912.0,-863560448.0,23186.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.05
2356087352,2,416066912.0,-863560448.0,23187.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.087
2356126080,2,416066912.0,-863560448.0,23189.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.126
2356166971,2,416066912.0,-863560448.0,23191.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.167
2356207242,2,416066912.0,-863560448.0,23193.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.207
2356246952,2,416066912.0,-863560448.0,23195.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.247
2356287333,2,416066912.0,-863560448.0,23197.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.287
2356327299,2,416066912.0,-863560448.0,23200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.327
2356367031,2,416066912.0,-863560448.0,23202.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.367
2356407247,2,416066912.0,-863560512.0,23205.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.407
2356447013,2,416066912.0,-863560512.0,23208.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.447
2356489706,2,416066912.0,-863560512.0,23211.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.49
2356527309,2,416066912.0,-863560512.0,23214.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.527
2356567041,2,416066880.0,-863560512.0,23218.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.567
2356607281,2,416066880.0,-863560512.0,23221.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.607
2356650898,2,416066880.0,-863560512.0,23225.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.651
2356689737,2,416066880.0,-863560512.0,23229.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.69
2356729500,2,416066880.0,-863560512.0,23233.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.729
2356769764,2,416066880.0,-863560512.0,23237.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.77
2356809485,2,416066880.0,-863560512.0,23242.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.809
2356850388,2,416066880.0,-863560512.0,23246.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.85
2356889703,2,416066848.0,-863560512.0,23251.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.89
2356932293,2,416066848.0,-863560512.0,23256.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.932
2356971941,2,416066848.0,-863560512.0,23261.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2356.972
2357009520,2,416066848.0,-863560512.0,23266.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.01
2357052197,2,416066848.0,-863560512.0,23271.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.052
2357089727,2,416066848.0,-863560512.0,23277.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.09
2357129575,2,416066816.0,-863560512.0,23282.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.13
2357169867,2,416066816.0,-863560512.0,23288.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.17
2357209477,2,416066816.0,-863560512.0,23294.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.209
2357250343,2,416066816.0,-863560512.0,23300.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.25
2357291998,2,416066816.0,-863560512.0,23307.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.292
2357332334,2,416066784.0,-863560512.0,23313.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.332
2357374863,2,416066784.0,-863560576.0,23320.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.375
2357412335,2,416066784.0,-863560576.0,23327.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.412
2357450793,2,416066784.0,-863560576.0,23334.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.451
2357492017,2,416066752.0,-863560576.0,23341.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.492
2357532348,2,416066752.0,-863560576.0,23348.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.532
2357572031,2,416066752.0,-863560576.0,23355.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.572
2357615977,2,416066752.0,-863560576.0,23363.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.616
2357654508,2,416066720.0,-863560576.0,23371.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.655
2357694688,2,416066720.0,-863560576.0,23379.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.695
2357734418,2,416066720.0,-863560576.0,23387.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.734
2357774878,2,416066720.0,-863560576.0,23395.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.775
2357812309,2,416066688.0,-863560576.0,23404.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.812
2357852601,2,416066688.0,-863560576.0,23412.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.853
2357894908,2,416066688.0,-863560576.0,23421.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.895
2357934476,2,416066688.0,-863560576.0,23430.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.934
2357979533,2,416066656.0,-863560576.0,23440.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2357.98
2358015937,2,416066656.0,-863560576.0,23448.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.016
2358062235,2,416066656.0,-863560576.0,23457.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.062
2358094747,2,416066624.0,-863560576.0,23466.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.095
2358134426,2,416066624.0,-863560576.0,23476.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.134
2358177292,2,416066624.0,-863560576.0,23485.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.177
2358215981,2,416066624.0,-863560576.0,23495.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.216
2358254438,2,416066592.0,-863560576.0,23505.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.254
2358294819,2,416066592.0,-863560576.0,23514.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.295
2358337313,2,416066592.0,-863560576.0,23524.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.337
2358374835,2,416066560.0,-863560640.0,23534.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.375
2358416031,2,416066560.0,-863560640.0,23544.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.416
2358457246,2,416066560.0,-863560640.0,23554.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.457
2358497015,2,416066560.0,-863560640.0,23564.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.497
2358537200,2,416066528.0,-863560640.0,23574.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.537
2358577387,2,416066528.0,-863560640.0,23585.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.577
2358621181,2,416066528.0,-863560640.0,23595.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.621
2358659500,2,416066528.0,-863560640.0,23605.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.66
2358699807,2,416066496.0,-863560640.0,23615.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.7
2358737347,2,416066496.0,-863560640.0,23625.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.737
2358777257,2,416066496.0,-863560640.0,23636.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.777
2358816941,2,416066464.0,-863560640.0,23646.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.817
2358857295,2,416066464.0,-863560640.0,23656.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.857
2358899858,2,416066464.0,-863560640.0,23666.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.9
2358939730,2,416066464.0,-863560640.0,23677.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.94
2358982180,2,416066432.0,-863560640.0,23688.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2358.982
2359021140,2,416066432.0,-863560640.0,23697.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.021
2359062260,2,416066432.0,-863560640.0,23708.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.062
2359099805,2,416066400.0,-863560640.0,23718.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.1
2359139610,2,416066400.0,-863560640.0,23729.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.14
2359179475,2,416066400.0,-863560640.0,23740.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.179
2359221219,2,416066400.0,-863560640.0,23750.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.221
2359259600,2,416066368.0,-863560704.0,23761.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.26
2359299741,2,416066368.0,-863560704.0,23771.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.3
2359339753,2,416066368.0,-863560704.0,23782.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.34
2359379513,2,416066336.0,-863560704.0,23793.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.38
2359421151,2,416066336.0,-863560704.0,23803.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.421
2359459519,2,416066336.0,-863560704.0,23814.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.46
2359499856,2,416066304.0,-863560704.0,23825.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.5
2359539685,2,416066304.0,-863560704.0,23835.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.54
2359582250,2,416066304.0,-863560704.0,23846.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.582
2359621125,2,416066272.0,-863560704.0,23857.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.621
2359662185,2,416066272.0,-863560704.0,23867.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.662
2359702161,2,416066272.0,-863560704.0,23878.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.702
2359741928,2,416066240.0,-863560704.0,23889.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.742
2359782256,2,416066240.0,-863560704.0,23899.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.782
2359822105,2,416066240.0,-863560704.0,23910.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.822
2359862264,2,416066208.0,-863560704.0,23921.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.862
2359902159,2,416066208.0,-863560704.0,23931.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.902
2359942021,2,416066208.0,-863560768.0,23942.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.942
2359984756,2,416066176.0,-863560768.0,23954.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2359.985
2360022052,2,416066176.0,-863560768.0,23964.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.022
2360066995,2,416066176.0,-863560768.0,23974.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.067
2360104405,2,416066144.0,-863560768.0,23985.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.104
2360144731,2,416066144.0,-863560768.0,23996.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.145
2360182345,2,416066144.0,-863560768.0,24006.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.182
2360227346,2,416066112.0,-863560768.0,24017.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.227
2360264805,2,416066112.0,-863560768.0,24027.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.265
2360304481,2,416066112.0,-863560768.0,24038.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.304
2360344751,2,416066080.0,-863560768.0,24049.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.345
2360384622,2,416066080.0,-863560768.0,24059.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.385
2360426102,2,416066080.0,-863560768.0,24070.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.426
2360484323,2,416066048.0,-863560768.0,24080.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.484
2360544586,2,416066048.0,-863560768.0,24090.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.545
2360544712,2,416066048.0,-863560832.0,24101.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.545
2360584612,2,416066016.0,-863560832.0,24111.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.585
2360627339,2,416066016.0,-863560832.0,24121.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.627
2360664830,2,416066016.0,-863560832.0,24131.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.665
2360707248,2,416065984.0,-863560832.0,24141.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.707
2360747189,2,416065984.0,-863560832.0,24151.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.747
2360787302,2,416065984.0,-863560832.0,24160.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.787
2360826129,2,416065952.0,-863560832.0,24170.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.826
2360867009,2,416065952.0,-863560832.0,24179.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.867
2360907227,2,416065952.0,-863560832.0,24189.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.907
2360947171,2,416065920.0,-863560832.0,24198.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.947
2360989644,2,416065920.0,-863560832.0,24208.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2360.99
2361027285,2,416065920.0,-863560832.0,24216.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.027
2361069793,2,416065888.0,-863560832.0,24225.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.07
2361107288,2,416065888.0,-863560832.0,24233.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.107
2361147064,2,416065888.0,-863560832.0,24242.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.147
2361189674,2,416065856.0,-863560896.0,24250.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.19
2361227356,2,416065856.0,-863560896.0,24258.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.227
2361269691,2,416065856.0,-863560896.0,24266.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.27
2361309481,2,416065856.0,-863560896.0,24274.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.309
2361347065,2,416065824.0,-863560896.0,24282.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.347
2361389760,2,416065824.0,-863560896.0,24289.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.39
2361427301,2,416065824.0,-863560896.0,24296.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.427
2361469825,2,416065824.0,-863560896.0,24304.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.47
2361512355,2,416065792.0,-863560896.0,24311.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.512
2361552140,2,416065792.0,-863560896.0,24318.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.552
2361594748,2,416065792.0,-863560896.0,24325.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.595
2361633405,2,416065792.0,-863560896.0,24331.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.633
2361671878,2,416065760.0,-863560896.0,24338.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.672
2361716084,2,416065760.0,-863560896.0,24344.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.716
2361757317,2,416065760.0,-863560896.0,24350.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.757
2361791972,2,416065760.0,-863560960.0,24356.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.792
2361834473,2,416065728.0,-863560960.0,24361.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.834
2361877864,2,416065728.0,-863560960.0,24367.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.878
2361912473,2,416065728.0,-863560960.0,24372.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.912
2361957278,2,416065728.0,-863560960.0,24378.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2361.957
2361999707,2,416065728.0,-863560960.0,24383.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2362.0
2362037234,2,416065728.0,-863560960.0,24388.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2362.037
2362077850,2,416065696.0,-863560960.0,24392.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2362.078
2362116050,2,416065696.0,-863560960.0,24397.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2362.116
2362157244,2,416065696.0,-863560960.0,24401.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2362.157
2362196977,2,416065696.0,-863560960.0,24406.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2362.197
2362239689,2,416065696.0,-863560960.0,24410.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2362.24
2362277897,2,416065696.0,-863560960.0,24414.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2362.278
