TimeUS,Message,t_s
2346821006,IF1200A 4.3 (4784bcbf) [ArduCopter V4.3.0],2346.821
2346821014,ChibiOS: 66e5de0d,2346.821
2346821033,IF1200A 00310040 33325103 30343636,2346.821
2346821042,Param space used: 666/5376,2346.821
2346821050,RC Protocol: SBUS,2346.821
2346821067,New mission,2346.821
2346821088,New rally,2346.821
2346821094,New fence,2346.821
2346821113,Frame: HEXA/X,2346.821
2346821135,GPS 1: specified as UAVCAN1-1,2346.821
2346821170,GPS 2: specified as UAVCAN1-2,2346.821
2351914340,EKF3 IMU2 MAG0 in-flight yaw alignment complete,2351.914
2351921938,EKF3 IMU0 MAG0 in-flight yaw alignment complete,2351.922
2351924417,EKF3 IMU1 MAG0 in-flight yaw alignment complete,2351.924
